Situation ID,Situation Text,Choice 1 Text,to ID,Choice Text 2,to ID
chimp_punch_2,"You swing with your other arm, but the chimp catches that too, and rips it off. You now have no arms. The chimp jumps on your back.",Bite him,chimp_bite_him,,
chimp_bite_him,"You try to bite the chimp, but he bites you first. The last thing you remember is having your neck bitten off. You bleed out painfully in the street. The chimp has stolen the watch. You are dead.",,,,
chimp_kick,You attempt to kick him but you miss. He grabs your foot and starts trying to rip your shoe off.,Let him take it,chimp_give_shoe,Kick harder,chimp_kick_2
chimp_kick_2,You try to kick him harder but he grabs your leg and rips it off. All your guts get ripped out with it. He jumps on your face and rips that off too. You die of chimp-related injuries.,,,,
chimp_give_shoe,"You let the chimp take the shoe, and this appeases him. He stands tall like a man and announces that he is the great and mystical Dr Chimpanzeria. He is a noble man of science whose experiements turned him into a chimp. He offers to sew your arm back on if you give him the watch.",Demand coat aswell,chimp_demand_coat,Accept offer,chimp_accept
temp_end,This is a temporary endpoint.,,,,
take_coat_chimp,"You attempt to take the coat off the man (chimp?) and he looks you square in the eye and says ""Don't try that again or I'll send you to your grave"".",Try again,chimp_try_again,Appologise,chimp_appologise
chimp_try_again,You try to take the coat again and this time the man (chimp?) grabs your arm and rips it off. This is very painful.,Punch with other arm,chimp_punch_2,,
chimp_appologise,You appologise to the apparently english-speaking chimp. ,,,,
chimp_defensive,"You sheild yourself with your arms, but the chimp begins screaming and trying to scratch you.",Run away,chimp_run,Poke his eyes,chimp_poke
chimp_run,"You quickly run backwards away from the chimp, ducking around the corner into a crowded market.",,,,
chimp_poke,"You poke the chimp in the eyes and he stumbles backwards. ""Ouch me damn eyes!"" he screams. ",Appologise,chimp_appologise,Run away,chimp_run
collect_coins,"You begin gathering all the coins in the fountain, soon you have many million Chinese dollars.",Find a clothes shop,find_clothes,Throw back in fountain,throw_fountain
pose_photo,"Chinese tourists are surrounding the fountain taking photos, so you begin to pose for them. Some of them upload it to Instagram. ",Yell at them,yell_no_reason,Ask for money,ask_money_photos
bite_walrus,"You take a bite of the walrus, it is delicious. ",,,,
ninja_fight,"One of the ninjas jumps at you, but you duck and do a backwards kick sending him high into the ceiling. Two more are running from either side.",Throw plates,ninja_plates,Throw knives,ninja_knives
ninja_plates,You grab some plates and throw them in either direction. The two oncoming ninjas block the blow but the shrapnel and dust gets in their eyes and they trip and stab eachother in the throat. The remaining two ninjas are loading a cannon with fireworks and facing it at you.,Throw more plates,ninja_plates_2,Duck and cover,ninja_duck
ninja_knives,"You grab some knives from a nearby table and throw them at the two ninjas. But they deflect the knives and bare down on you. One of them stabs you in the head and the other one stabs you in the groin. It is very painful. You notice that he other ninjas have loaded a cannon with fireworks, and they fire it at you. You explode and burn to death. ",,,,
ninja_plates_2,"You throw more plates at the cannon-ninjas, but they just shoot you with the cannon. Fireworks and for some reason eels land on your face, and you are stung and burnt to death.",,,,
ninja_duck,"You duck from the ninjas, hiding under a table. As you do this, the cannon goes off, blasting a hole in the back of the restaurant. The owner charges out with a loaded revolver, and shoots both ninjas in the head. He bows and appologises you for the unintended interruption to your restaurant visit, and offers to give you a free meal of your choice. He gestures to a nearby table.",Take a seat,take_seat,Leave the restaurant,leave_restaurant
leave_restaurant,"You attempt to leave the restaurant, but an angry looking chimpanzee in a coat blocks your exit.",Punch him,punch_chimp,Take a seat,take_seat
trudge_on,"You trudge on, very aware of the fact that you have no clothes. People all around you are staring. You look around at street signs but realise they are all in Chinese.",Ask for help,ask_help_trudge,Find a clothes shop,find_clothes
ask_help_trudge,"You assail a nearby Chinese man and ask him for help finding this address. He seems confused until you read the address, at which point he seems to understand your words and points to a large imperial castle at the top of a hill.",Go to castle,go_castle,Yell for no reason,end_worst_way
find_clothes,You search the city streets for a few minutes until you find a clothes shop. They only have spiderman costumes and hula skirts.,Spiderman costume,get_clothes,Hula skirt,get_clothes
get_clothes,"Your new clothes aren't exactly inconspicuous, but at least you aren't naked anymore.",Leave the shop,leave_clothes,,
leave_clothes,You leave the shop and continue looking for the address,Go uphill,go_uphill,Go downhill,go_downhill
go_downhill,"You walk downhill, it gets darker and colder and wetter. The people down here are strange and creepy. ",Yell for no reason,yell_no_reason,Go uphill instead,go_uphill
pizza_meal,"Completely unware of what you're ordering, you point at the first item on the menu, hoping it won't be too gross. You're surprised to discover that it's pizza. But pizza with pineapple.",Eat pizza,eat_pizza,,
eat_pizza,You eat the pizza. It is cold and oily. But at least you aren't dead.,,,,
go_uphill,"You walk uphill, and as you do you notice a large imperial castle at the top of the hill.",Go to castle,go_castle,Yell for no reason,yell_no_reason
yell_no_reason,"Your yelling awakens the heavens and a ten kilotonne block of ice descends from the heavens and crushes you. You are now an ice pancake, and dead.",,,,
lizard_fit_in,"You try to act natural, but one of the monstrous restaurant patrons grabs you from behind and starts to hiss.",Scream for help,scream_help_lizard,Punch him,punch_lizard
scream_help_lizard,"You scream for help. This draws attention from everyone around you, and they are all lizard people. They surround you",Look for an exit,look_exit_lizard,Accept fate,lizard_die
punch_lizard,You flail at your assailant but he licks you with his lizard tongue. ,Scream for help,scream_help_lizard,Look for an exit,look_exit_lizard
go_castle,You walk up to the top of the hill to the giant castle that sits there.  As you arrive at the gate you are greeted by a caterpillar in a sleeping bag.,,,,
throw_fountain,"You throw the coins in the fountain, you are now coinless and naked in a fountain again.",Catch a goldfish,catch_goldfish,Collect all the coins,collect_coins
ask_money_photos,The Chinese people begin throwing Chinese dollars and cents at you and you continue to pose. ,Collect the coins,collect_coins,,
chimp_demand_coat,"You demand that the scientist give you his coat, but he only has greedy eyes for the watch so happily oblidges.",,,,
chimp_accept,You accept the offer and the scientist leads you back to his lab.,,,,
look_exit_lizard,"You franticly look around for an exit, and notice a trapdoor beneath your feet, and an ""Open Trapdoor"" button next to it.",Press button,lizard_button,Accept fate,lizard_die
lizard_die,You accept your fate as you are eaten to death by lizard people. They serve you for lunch to their lizard friends.,,,,
lizard_button,You press the button and fall to your freedom into a dark cavern. You splash into a body of water but can't see anything. You hear the distinct sound of bees coming from somewhere in this cavern. There are eels in the water.,,,,
